Dist,fluxKandM1,fluxKandM2,fluxKandM3,,,
1,2.65E-21,2.05E-21,9.61E-23,,K&M1,Arithmetic average 
2,1.24E-10,1.07E-10,2.30E-11,,K&M2,Area-weighted average
3,3.04E-07,2.74E-07,9.80E-08,,K&M3,Effective input parameter
4,1.25E-05,1.15E-05,5.33E-06,,,
5,0.00010409,9.71E-05,5.26E-05,,,
6,0.000397364,0.00037428,0.000225367,,,
7,0.000981744,0.00093106,0.00060484,,,
8,0.001860224,0.001773645,0.001220323,,,
9,0.002966252,0.002840456,0.002044409,,,
10,0.004204691,0.004040867,0.003016115,,,
11,0.005483403,0.00528585,0.004065569,,,
12,0.006728721,0.006503395,0.005129799,,,
13,0.007889285,0.00764268,0.006159603,,,
14,0.008933883,0.008672302,0.007120661,,,
15,0.009847142,0.009576285,0.007991767,,,
16,0.010625052,0.010349831,0.008762081,,,
17,0.011271159,0.010995654,0.009428348,,,
18,0.011793641,0.011521139,0.009992515,,,
19,0.012203198,0.011936274,0.010459866,,,
20,0.012511607,0.012252219,0.010837632,,,
21,0.012730781,0.012480367,0.011134009,,,
22,0.012872182,0.012631754,0.011357482,,,
23,0.012946493,0.012716711,0.011516392,,,
24,0.012963444,0.012744696,0.011618663,,,
25,0.012931765,0.012724215,0.011671652,,,
26,0.012859187,0.012662832,0.011682072,,,
27,0.012752498,0.012567203,0.011655972,,,
28,0.012617615,0.012443148,0.011598754,,,
29,0.012459665,0.012295722,0.011515204,,,
30,0.012283068,0.012129295,0.011409536,,,
31,0.012091623,0.01194763,0.011285442,,,
32,0.011888578,0.011753955,0.011146147,,,
33,0.011676704,0.011551029,0.010994454,,,
34,0.011458356,0.011341203,0.010832793,,,
35,0.01123553,0.011126477,0.010663265,,,
36,0.01100991,0.010908541,0.010487682,,,
37,0.010782914,0.010688824,0.010307601,,,
38,0.01055573,0.010468525,0.010124359,,,
39,0.010329347,0.01024865,0.009939098,,,
40,0.010104587,0.010030034,0.00975279,,,
41,0.009882127,0.00981337,0.009566265,,,
42,0.009662518,0.009599228,0.009380221,,,
43,0.00944621,0.009388071,0.009195249,,,
44,0.009233559,0.009180273,0.009011843,,,
45,0.009024846,0.00897613,0.008830414,,,
46,0.008820288,0.008775874,0.008651303,,,
47,0.008620045,0.00857968,0.008474787,,,
48,0.008424231,0.008387677,0.008301094,,,
49,0.008232921,0.008199953,0.0081304,,,
50,0.008046158,0.008016562,0.007962848,,,
51,0.007863954,0.007837531,0.007798542,,,
52,0.007686301,0.007662861,0.00763756,,,
53,0.007513169,0.007492537,0.007479954,,,
54,0.007344515,0.007326522,0.007325756,,,
55,0.00718028,0.007164769,0.007174978,,,
56,0.007020397,0.00700722,0.007027617,,,
57,0.006864789,0.006853806,0.00688366,,,
58,0.006713372,0.006704452,0.006743079,,,
59,0.006566057,0.006559077,0.00660584,,,
60,0.006422751,0.006417596,0.006471899,,,
61,0.006283361,0.006279919,0.006341209,,,
62,0.006147786,0.006145956,0.006213715,,,
63,0.006015931,0.006015615,0.00608936,,,
64,0.005887694,0.005888802,0.005968081,,,
65,0.005762979,0.005765424,0.005849816,,,
66,0.005641685,0.005645386,0.005734499,,,
67,0.005523717,0.005528598,0.005622064,,,
68,0.005408977,0.005414966,0.005512442,,,
69,0.005297371,0.005304401,0.005405567,,,
70,0.005188806,0.005196813,0.005301369,,,
71,0.005083192,0.005092115,0.005199782,,,
72,0.004980439,0.004990222,0.005100739,,,
73,0.00488046,0.004891049,0.005004171,,,
74,0.004783171,0.004794516,0.004910014,,,
