Date,measuredSug,measuredCot,obsSugarcane,obsCotton
01-04-2017,5.393294692,5.393294692,0.863560922,0.086732443
01-05-2017,0.782656671,0.782656671,1.633935016,0.465138615
01-06-2017,3.620697568,3.620697568,1.185673278,0.261960645
01-07-2017,6.104134968,6.104134968,0.589361531,0.546154303
01-10-2017,6.187858272,6.187858272,0.552971901,0.658010253
01-11-2017,8.47160208,8.47160208,0.346845914,1.286708944
01-12-2017,3.235813979,3.235813979,0.284603963,1.832618387
02-04-2017,3.150435243,3.150435243,0.943106858,1.085306333
02-05-2017,8.617948377,8.617948377,0.952111721,1.16146373
02-06-2017,2.1749471,2.1749471,1.350660577,1.220780722
02-07-2017,0.154924557,0.154924557,2.105985469,0.23804304
02-08-2017,0.572960084,0.572960084,1.270500129,0.604060655
02-10-2017,7.099805449,7.099805449,0.981691152,1.121802101
02-11-2017,8.894207519,8.894207519,1.123097085,0.375690331
02-12-2017,8.132184733,8.132184733,1.123688485,0.113205985
03-04-2017,3.159790416,3.159790416,0.879829771,0.126109701
03-05-2017,7.568088257,7.568088257,0.642019042,0.469912724
03-06-2017,4.600970183,4.600970183,0.621378214,0.218300659
03-07-2017,1.317573213,1.317573213,0.60672387,0.96372328
03-08-2017,4.866290448,4.866290448,1.103816191,0.258987802
03-10-2017,0.156158397,0.156158397,1.656278539,0.257495439
03-11-2017,7.273148705,7.273148705,1.122607201,0.310230975
03-12-2017,1.173364694,1.173364694,1.539552541,0.150734586
04-04-2017,4.005882265,4.005882265,1.332484905,0.72755192
04-05-2017,3.996672006,3.996672006,1.597019936,2.413331501
04-06-2017,2.625144484,2.625144484,0.900920031,0.46260558
04-07-2017,3.118445291,3.118445291,0.855182016,0.51653503
04-08-2017,1.409960153,1.409960153,0.849736718,0.621192347
04-10-2017,15.63023287,15.63023287,0.890651916,0.758442187
04-11-2017,13.36698701,13.36698701,1.475241134,0.084466522
04-12-2017,5.298536567,5.298536567,1.18556498,0.943735932
05-04-2017,5.261443487,5.261443487,1.62003395,1.502196362
05-05-2017,2.410820158,2.410820158,1.676628391,0.909494272
05-06-2017,0.956218557,0.956218557,0.632665828,2.621009706
05-07-2017,6.151622833,6.151622833,1.646995453,0.959531207
05-10-2017,7.724068875,7.724068875,0.993908014,2.671622601
05-11-2017,0.321706153,0.321706153,0.735003781,1.821219267
05-12-2017,4.532604716,4.532604716,0.32,0.21
06-04-2017,5.09344085,5.09344085,1.218351151,0.432480437
06-05-2017,4.904000886,4.904000886,0.771013232,1.773103044
06-06-2017,4.481455655,4.481455655,1.450864839,0.178736014
